iter	Passed	Remaining
0	0	82
1	1	74
2	2	70
3	2	66
4	3	64
5	4	63
6	4	62
7	5	60
8	5	59
9	6	59
10	7	58
11	7	57
12	8	56
13	9	55
14	9	55
15	10	54
16	10	53
17	11	52
18	12	53
19	13	53
20	14	52
21	14	52
22	15	51
23	16	50
24	16	49
25	17	49
26	17	48
27	18	47
28	19	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	40
37	24	40
38	25	39
39	25	38
40	26	38
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	30
54	36	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	40	24
63	41	23
64	42	22
65	43	22
66	44	21
67	44	21
68	45	20
69	46	19
70	46	19
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	55	9
86	56	8
87	57	7
88	58	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	62	3
95	63	2
96	64	1
97	64	1
98	65	0
99	65	0
